,Keywords,Topic_Perc_Contrib,Dominant_Topic
114,"mar, water, surface, earth, crater, large, ice, name, area, small",0.41019999980926514,0.0
115,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.5918999910354614,2.0
116,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.37299999594688416,5.0
117,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.5460000038146973,5.0
118,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.5278000235557556,4.0
119,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.722100019454956,4.0
120,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.4374000132083893,4.0
121,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.6309000253677368,4.0
122,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.7193999886512756,4.0
123,"defeat, india, team, point, tournament, year, many, contain, match, war",0.37619999051094055,1.0
124,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.41990000009536743,3.0
125,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.45339998602867126,5.0
126,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.3100000023841858,5.0
127,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.6881999969482422,5.0
128,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.7997999787330627,4.0
129,"mar, water, surface, earth, crater, large, ice, name, area, small",0.5393000245094299,0.0
130,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.557200014591217,3.0
131,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.4961000084877014,5.0
132,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.450300008058548,4.0
133,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.4296000003814697,5.0
134,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.3817000091075897,4.0
135,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.4438999891281128,2.0
136,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.4223000109195709,4.0
137,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.45179998874664307,4.0
138,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.5241000056266785,3.0
139,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.4596000015735626,3.0
140,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.5422000288963318,4.0
141,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.43720000982284546,4.0
142,"defeat, india, team, point, tournament, year, many, contain, match, war",0.5781000256538391,1.0
143,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.826200008392334,2.0
144,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.47690001130104065,3.0
145,"mar, water, surface, earth, crater, large, ice, name, area, small",0.6841999888420105,0.0
146,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.4092999994754791,3.0
147,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.20489999651908875,5.0
148,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.5726000070571899,5.0
149,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.36910000443458557,5.0
150,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.7723000049591064,3.0
151,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.44029998779296875,4.0
152,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.8198000192642212,3.0
153,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.7889000177383423,5.0
154,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.4293999969959259,3.0
155,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.7372999787330627,4.0
156,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.7098000049591064,4.0
157,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.49399998784065247,5.0
158,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.4043999910354614,5.0
159,"defeat, india, team, point, tournament, year, many, contain, match, war",0.6534000039100647,1.0
160,"defeat, india, team, point, tournament, year, many, contain, match, war",0.4629000127315521,1.0
161,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.692799985408783,4.0
162,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.8799999952316284,4.0
163,"name, feature, make, olympus, valley, map, new, establish, play, albedo",0.6171000003814697,2.0
164,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.6230000257492065,4.0
165,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.33219999074935913,3.0
166,"mar, call, cup, impact, cover, cap, pole, martian, size, hemisphere",0.5929999947547913,3.0
167,"india, northern, period, world, southern, dynasty, rule, plain, result, early",0.4569999873638153,5.0
168,"india, empire, kingdom, company, maratha, later, show, become, east, however",0.7597000002861023,4.0
169,"defeat, india, team, point, tournament, year, many, contain, match, war",0.424699991941452,1.0
170,"mar, water, surface, earth, crater, large, ice, name, area, small",0.5318999886512756,0.0
